#          time          flux      flux_err   quality  sector 
      1468.273147426    1.01739    0.00112       8       6 
      1468.274536319    1.00896    0.00111       0       6 
      1468.275925211    1.01042    0.00111       0       6 
      1468.277314104    1.01007    0.00112       0       6 
      1468.278702996    1.00857    0.00111       0       6 
      1468.280091888    1.00987    0.00111       0       6 
      1468.281480781    1.01197    0.00111       0       6 
      1468.282869673    1.01208    0.00111       0       6 
      1468.284258565    1.01123    0.00112       0       6 
      1468.285647458    1.01215    0.00111       0       6 
      1468.287036350    1.01089    0.00111       0       6 
      1468.288425242    1.01046    0.00111       0       6 
      1468.289814135    1.00869    0.00111       0       6 
      1468.291203027    1.00797    0.00111       0       6 
      1468.292591919    1.00935    0.00111       0       6 
      1468.293980812    1.00865    0.00111       0       6 
      1468.295369704    1.01444    0.00112       0       6 
      1468.296758597    1.00808    0.00111       0       6 
      1468.298147489    1.01012    0.00111       0       6 
      1468.299536381    1.01051    0.00111       0       6 
      1468.300925274    1.01175    0.00111       0       6 
      1468.302314166    1.01204    0.00111       0       6 
      1468.303703058    1.00959    0.00111       0       6 
      1468.305091951    1.00800    0.00111       0       6 
      1468.306480843    1.01168    0.00111       0       6 
      1468.307869735    1.01097    0.00112       0       6 
      1468.309258628    1.00982    0.00111       0       6 
      1468.310647520    1.01042    0.00111       0       6 
      1468.312036412    1.00943    0.00111       0       6 
      1468.313425305    1.01096    0.00112       0       6 
      1468.314814197    1.01126    0.00111       0       6 
      1468.316203089    1.01036    0.00111       0       6 
      1468.317591982    1.01328    0.00112       0       6 
      1468.318980874    1.01129    0.00111       0       6 
      1468.320369766    1.01280    0.00111       0       6 
      1468.321758658    1.01048    0.00112       0       6 
      1468.323147551    1.01026    0.00111       0       6 
      1468.324536443    1.00952    0.00111       0       6 
      1468.325925335    1.01104    0.00112       0       6 
      1468.327314228    1.01311    0.00112       0       6 
      1468.328703120    1.01251    0.00111       0       6 
      1468.330092012    1.01252    0.00112       0       6 
      1468.331480904    1.01209    0.00112       0       6 
      1468.332869797    1.01256    0.00111       0       6 
      1468.334258689    1.01355    0.00112       0       6 
      1468.335647581    1.01119    0.00111       0       6 
      1468.337036473    1.01324    0.00111       0       6 
      1468.338425366    1.01274    0.00112       0       6 
      1468.339814258    1.01114    0.00112       0       6 
      1468.341203150    1.01188    0.00112       0       6 
      1468.342592043    1.01231    0.00111       0       6 
      1468.343980935    1.01158    0.00111       0       6 
      1468.345369827    1.01206    0.00111       0       6 
      1468.346758719    1.00958    0.00111       0       6 
      1468.348147612    1.01271    0.00111       0       6 
      1468.349536504    1.01082    0.00111       0       6 
      1468.350925396    1.01156    0.00111       0       6 
      1468.352314288    1.01579    0.00112       0       6 
      1468.353703180    1.01093    0.00111       0       6 
      1468.355092073    1.01058    0.00111       0       6 
      1468.356480965    1.01118    0.00111       0       6 
      1468.357869857    1.01416    0.00112       0       6 
      1468.359258750    1.00711    0.00111       0       6 
      1468.360647642    1.01324    0.00112       0       6 
      1468.362036534    1.01122    0.00111       0       6 
      1468.363425426    1.01240    0.00111       0       6 
      1468.364814318    1.01234    0.00112       0       6 
      1468.366203210    1.01160    0.00111       0       6 
      1468.367592103    1.01048    0.00111       0       6 
      1468.368980995    1.01222    0.00112       0       6 
      1468.370369887    1.00845    0.00111       0       6 
      1468.371758779    1.01076    0.00111       0       6 
      1468.373147672    1.01095    0.00112       0       6 
      1468.374536564    1.01126    0.00112       0       6 
      1468.375925456    1.01133    0.00111       0       6 
      1468.377314348    1.01076    0.00111       0       6 
      1468.378703240    1.01098    0.00111       0       6 
      1468.380092133        nan        nan     176       6 
      1468.381481025        nan        nan     180       6 
      1468.382869917    0.89341    0.00106     164       6 
      1468.384258809    1.01002    0.00112     160       6 
      1468.385647701    1.01008    0.00111     160       6 
      1468.387036593    1.01126    0.00111     160       6 
      1468.388425486    1.00959    0.00111     160       6 
      1468.389814378    1.00941    0.00111       0       6 
      1468.391203270    1.00959    0.00111       0       6 
      1468.392592162    1.00772    0.00111       0       6 
      1468.393981054    1.00919    0.00111       0       6 
      1468.395369947    1.01148    0.00111       0       6 
      1468.396758839    1.01061    0.00111       0       6 
      1468.398147731    1.01304    0.00111       0       6 
      1468.399536623    1.00916    0.00111       0       6 
      1468.400925515    1.01080    0.00111       0       6 
      1468.402314407    1.00814    0.00111       0       6 
      1468.403703300    1.01100    0.00111       0       6 
      1468.405092192    1.01082    0.00111       0       6 
      1468.406481084    1.01041    0.00111       0       6 
      1468.407869976    1.00930    0.00111       0       6 
      1468.409258868    1.00973    0.00111       0       6 
      1468.410647760    1.01152    0.00111       0       6 
      1468.412036652    1.01185    0.00111       0       6 
      1468.413425544    1.01022    0.00111       0       6 
      1468.414814437    1.00984    0.00111       0       6 
      1468.416203329    1.01206    0.00112       0       6 
      1468.417592221    1.01011    0.00111       0       6 
      1468.418981113    1.01107    0.00111       0       6 
      1468.420370005    1.01180    0.00112       0       6 
      1468.421758897    1.01138    0.00111       0       6 
      1468.423147789    1.01317    0.00112       0       6 
      1468.424536681    1.01186    0.00112       0       6 
      1468.425925573    1.01155    0.00111       0       6 
      1468.427314466    1.01107    0.00112       0       6 
      1468.428703358    1.01088    0.00111       0       6 
      1468.430092250    1.01205    0.00112       0       6 
      1468.431481142    1.01069    0.00111       0       6 
      1468.432870034    1.01125    0.00111       0       6 
      1468.434258926    1.01137    0.00111       0       6 
      1468.435647818    1.01155    0.00111       0       6 
      1468.437036710    1.01296    0.00112       0       6 
      1468.438425602    1.01513    0.00112       0       6 
      1468.439814495    1.01107    0.00111       0       6 
      1468.441203387    1.01248    0.00111       0       6 
      1468.442592279    1.01161    0.00111       0       6 
      1468.443981171    1.01599    0.00112       0       6 
      1468.445370063    1.01326    0.00112       0       6 
      1468.446758955    1.01332    0.00112       0       6 
      1468.448147847    1.01268    0.00111       0       6 
      1468.449536739    1.01413    0.00112       0       6 
      1468.450925631    1.01457    0.00112       0       6 
      1468.452314523    1.01378    0.00112       0       6 
      1468.453703415    1.01244    0.00111       0       6 
      1468.455092307    1.01468    0.00112       0       6 
      1468.456481199    1.01438    0.00112       0       6 
      1468.457870091    1.01494    0.00112       0       6 
      1468.459258983    1.01228    0.00111       0       6 
      1468.460647875    1.01477    0.00112       0       6 
      1468.462036767    1.01120    0.00111       0       6 
      1468.463425659    1.01222    0.00111       0       6 
      1468.464814551    1.01188    0.00111       0       6 
      1468.466203444    1.01383    0.00112       0       6 
      1468.467592336    1.00992    0.00111       0       6 
      1468.468981228    1.01118    0.00111       0       6 
      1468.470370119    1.01177    0.00111       0       6 
      1468.471759011    1.01309    0.00112       0       6 
      1468.473147904    1.01318    0.00112       0       6 
      1468.474536796    1.01027    0.00111       0       6 
      1468.475925688    1.01011    0.00111       0       6 
      1468.477314580    1.01244    0.00111       0       6 
      1468.478703472    1.01453    0.00112       0       6 
      1468.480092364    1.01095    0.00111       0       6 
      1468.481481256    1.01067    0.00111       0       6 
      1468.482870148    1.00963    0.00111       0       6 
      1468.484259040    1.01283    0.00111       0       6 
      1468.485647932    1.01292    0.00111       0       6 
      1468.487036824    1.01314    0.00111       0       6 
      1468.488425716    1.01145    0.00111       0       6 
      1468.489814608    1.01328    0.00112       0       6 
      1468.491203500    1.01270    0.00112       0       6 
      1468.492592392    1.01088    0.00111       0       6 
      1468.493981284    1.01248    0.00111       0       6 
      1468.495370175    1.01055    0.00111       0       6 
      1468.496759068    1.01323    0.00111       0       6 
      1468.498147960    1.01219    0.00112       0       6 
      1468.499536851    1.01223    0.00111       0       6 
      1468.500925743    1.01216    0.00111       0       6 
      1468.502314635    1.01169    0.00112       0       6 
      1468.503703527    1.00951    0.00111       0       6 
      1468.505092419    1.01234    0.00111       0       6 
      1468.506481311    1.01327    0.00112       0       6 
      1468.507870203    1.01333    0.00112       0       6 
      1468.509259095    1.01353    0.00111       0       6 
      1468.510647987    1.01002    0.00111       0       6 
      1468.512036879    1.01495    0.00112       0       6 
      1468.513425771    1.01003    0.00111       0       6 
      1468.514814663    1.01148    0.00111       0       6 
      1468.516203555    1.01221    0.00111       0       6 
      1468.517592447    1.01097    0.00112       0       6 
      1468.518981339    1.01257    0.00112       0       6 
      1468.520370231    1.01437    0.00112       0       6 
      1468.521759123    1.01298    0.00112       0       6 
      1468.523148015    1.01523    0.00112       0       6 
      1468.524536906    1.01275    0.00112       0       6 
      1468.525925799    1.01471    0.00112       0       6 
      1468.527314690    1.01420    0.00112       0       6 
      1468.528703582    1.01304    0.00111       0       6 
      1468.530092474    1.01327    0.00112       0       6 
      1468.531481366    1.01450    0.00112       0       6 
      1468.532870258    1.01268    0.00111       0       6 
      1468.534259150    1.01347    0.00112       0       6 
      1468.535648042    1.01407    0.00112       0       6 
      1468.537036934    1.01767    0.00112       0       6 
      1468.538425826    1.01643    0.00112       0       6 
      1468.539814718    1.01635    0.00112       0       6 
      1468.541203609    1.01480    0.00112       0       6 
      1468.542592501    1.01451    0.00112       0       6 
      1468.543981393    1.01267    0.00111       0       6 
      1468.545370285    1.01533    0.00112       0       6 
      1468.546759177    1.01293    0.00112       0       6 
      1468.548148069    1.01693    0.00112       0       6 
      1468.549536961    1.01192    0.00111       0       6 
      1468.550925852    1.01203    0.00111       0       6 
      1468.552314745    1.01288    0.00111       0       6 
      1468.553703636    1.01370    0.00112       0       6 
      1468.555092528    1.01566    0.00112       0       6 
      1468.556481420    1.01702    0.00112       0       6 
      1468.557870312    1.01348    0.00112       0       6 
      1468.559259204    1.01444    0.00112       0       6 
      1468.560648096    1.01520    0.00112       0       6 
      1468.562036987    1.01429    0.00111       0       6 
      1468.563425879    1.01683    0.00112       0       6 
      1468.564814771    1.01597    0.00112       0       6 
      1468.566203663    1.01326    0.00112       0       6 
      1468.567592555    1.01384    0.00112       0       6 
      1468.568981447    1.01608    0.00112       0       6 
      1468.570370338    1.01266    0.00111       0       6 
      1468.571759231    1.01375    0.00112       0       6 
      1468.573148122    1.01798    0.00112       0       6 
      1468.574537014    1.01316    0.00111       0       6 
